z,model,condition,mean,std
32,pca,full,0.8434558601204628,0.005072282298348748
32,baseline,full,0.7694620657407035,0.008500659954225038
32,grn_real,full,0.6686355697965606,0.025620298661961218
32,grn_soft:0.001,full,0.7538019969175801,0.009717865944090793
32,pca,lowdata:8,0.6811671990692586,0.005119809584606685
32,baseline,lowdata:8,0.6203376984190762,0.01755489873235712
32,grn_real,lowdata:8,0.5307942172998174,0.027517435357118387
32,grn_soft:0.001,lowdata:8,0.6240912247392258,0.01798563322618056
32,pca,noise:0.3,0.780918021454168,0.01064323395940809
32,baseline,noise:0.3,0.7066829262546497,0.005877255480178414
32,grn_real,noise:0.3,0.5421870611137897,0.015160181020099446
32,grn_soft:0.001,noise:0.3,0.714074193687107,0.007438099520962411
64,pca,full,0.8655318042046628,0.004335617986919755
64,baseline,full,0.7919448020541933,0.0084704699426049
64,grn_real,full,0.7073885216800818,0.016044893688322796
64,grn_soft:0.001,full,0.7529259720136915,0.008483573119273488
64,pca,lowdata:8,0.6546501493434683,0.01749708215305936
64,baseline,lowdata:8,0.6466684302955851,0.023138581226519683
64,grn_real,lowdata:8,0.5651805445726302,0.028017586472025735
64,grn_soft:0.001,lowdata:8,0.6450510148172821,0.02835907050290808
64,pca,noise:0.3,0.7686061310932312,0.01357204294606379
64,baseline,noise:0.3,0.7421475272009664,0.0016774419329734602
64,grn_real,noise:0.3,0.604140278442652,0.009571898741821499
64,grn_soft:0.001,noise:0.3,0.7258286821919433,0.015729797720231763
128,pca,full,0.8299984522821603,0.004480532652018215
128,baseline,full,0.7940912235721318,0.0046384053387701655
128,grn_real,full,0.7523789974850684,0.010040915191298773
128,grn_soft:0.001,full,0.7637363045928577,0.02307818705275348
128,pca,lowdata:8,0.6292840560008713,0.016140530708317162
128,baseline,lowdata:8,0.6584435208264346,0.025019517061943494
128,grn_real,lowdata:8,0.597213769731363,0.016823987382448544
128,grn_soft:0.001,lowdata:8,0.6323595858266294,0.031671661476660104
128,pca,noise:0.3,0.7390080146127618,0.006859671991922502
128,baseline,noise:0.3,0.7386747879304867,0.006116868297884805
128,grn_real,noise:0.3,0.6305826041863193,0.008037703649586106
128,grn_soft:0.001,noise:0.3,0.7349481808563336,0.007365501740352748
