model,condition,mean,std
baseline,full,0.7936165905775275,0.007564525123906046
pca,full,0.8619083713855231,0.00637916539518643
dc_tfact_pca,full,0.7926592100709747,0.0
rand_proj,full,0.7674456632691926,0.0
dc_tfact,full,0.864496605561621,0.0
dc_tfact_collectri,full,0.8581362344798877,0.0
baseline,lowdata:8,0.6395693798622133,0.022361007919573624
pca,lowdata:8,0.6530535876376046,0.022638460505479806
dc_tfact_pca,lowdata:8,0.6331438407962626,0.017167480279430724
rand_proj,lowdata:8,0.6273889935891339,0.016353402902874375
dc_tfact,lowdata:8,0.6910830717147494,0.015795069343941797
dc_tfact_collectri,lowdata:8,0.7403922821130251,0.012414370205132762
baseline,noise:0.3,0.7326916759160694,0.014635716092398528
pca,noise:0.3,0.7692364112209313,0.012037768491410002
dc_tfact_pca,noise:0.3,0.6852411455990405,0.020424474784976228
rand_proj,noise:0.3,0.6402002401863702,0.027256695039285062
dc_tfact,noise:0.3,0.7298877392897207,0.016590317172909284
dc_tfact_collectri,noise:0.3,0.7794620806323592,0.014314884139190447
