model,condition,mean_delta,frac_beats_baseline,n_folds
pca,full,0.08398495723792983,0.92,25
grn_real,full,-0.07193634792176544,0.04,25
grn_rewired,full,-0.1206354810575657,0.04,25
grn_soft:0.001,full,-0.03279615529555856,0.24,25
dc_tfact,full,0.06174617455518432,0.92,25
dc_tfact_rewired,full,0.018309061547792646,0.68,25
dc_tfact_collectri,full,0.08312466268785199,0.92,25
dc_tfact_pca,full,-0.0028416015490004744,0.36,25
rand_proj,full,-0.010108007245127526,0.52,25
pca,lowdata:4,-0.03941224927763508,0.24,25
grn_real,lowdata:4,-0.04542292929808168,0.36,25
grn_rewired,lowdata:4,-0.07522201808148471,0.12,25
grn_soft:0.001,lowdata:4,-0.0015063392127795127,0.48,25
dc_tfact,lowdata:4,0.05437562628158066,0.8,25
dc_tfact_rewired,lowdata:4,0.014090893308666214,0.6,25
dc_tfact_collectri,lowdata:4,0.09962968751665682,0.96,25
dc_tfact_pca,lowdata:4,-0.054540944286826355,0.2,25
rand_proj,lowdata:4,-0.04219916841008988,0.12,25
pca,lowdata:8,-0.02807368903086006,0.24,25
grn_real,lowdata:8,-0.06934315034651016,0.08,25
grn_rewired,lowdata:8,-0.09181942574597848,0.0,25
grn_soft:0.001,lowdata:8,-0.019727487959411504,0.44,25
dc_tfact,lowdata:8,0.025004696816870692,0.72,25
dc_tfact_rewired,lowdata:8,0.0004471150482457142,0.4,25
dc_tfact_collectri,lowdata:8,0.08555134187001733,1.0,25
dc_tfact_pca,lowdata:8,-0.030585097488497515,0.32,25
rand_proj,lowdata:8,-0.03649361522928896,0.24,25
pca,lowdata:16,0.03866197713485372,0.68,25
grn_real,lowdata:16,-0.07534329685609803,0.08,25
grn_rewired,lowdata:16,-0.10579957931719947,0.04,25
grn_soft:0.001,lowdata:16,-0.013998963357477284,0.32,25
dc_tfact,lowdata:16,0.031025136152690362,0.6,25
dc_tfact_rewired,lowdata:16,0.0012574272548966192,0.48,25
dc_tfact_collectri,lowdata:16,0.07752353707523991,0.92,25
dc_tfact_pca,lowdata:16,0.0046277027868359384,0.48,25
rand_proj,lowdata:16,-0.024577648783167688,0.36,25
pca,noise:0.3,0.03734995517038863,0.72,25
grn_real,noise:0.3,-0.11755818219361093,0.04,25
grn_rewired,noise:0.3,-0.1737129297946635,0.0,25
grn_soft:0.001,noise:0.3,-0.017113236105364235,0.4,25
dc_tfact,noise:0.3,-0.011957339553005179,0.52,25
dc_tfact_rewired,noise:0.3,-0.029668767329448432,0.28,25
dc_tfact_collectri,noise:0.3,0.05179733311064586,0.84,25
dc_tfact_pca,noise:0.3,-0.046598396306136235,0.24,25
rand_proj,noise:0.3,-0.08422780246430804,0.04,25
pca,noise:0.1,0.010986697849096547,0.48,25
grn_real,noise:0.1,-0.1558020234708134,0.0,25
grn_rewired,noise:0.1,-0.20957390858853242,0.0,25
grn_soft:0.001,noise:0.1,-0.005592944350036833,0.52,25
dc_tfact,noise:0.1,-0.04472412749462691,0.28,25
dc_tfact_rewired,noise:0.1,-0.07456215880518481,0.12,25
dc_tfact_collectri,noise:0.1,0.020742509342907788,0.64,25
dc_tfact_pca,noise:0.1,-0.091504978365288,0.12,25
rand_proj,noise:0.1,-0.1298391366047094,0.04,25
