model,condition,mean_delta,frac_positive,n
pca,full,0.06829178080799561,1.0,25
dc_tfact,full,0.07088001498409356,0.96,25
dc_tfact_pca,full,-0.0009573805065527008,0.4,25
grn_soft:0.001,full,-0.03960449134090814,0.04,25
grn_soft:0.01,full,-0.17478888827798236,0.0,25
grn_real,full,-0.080076224565631,0.04,25
pca,lowdata:4,-0.038530691987211825,0.24,25
dc_tfact,lowdata:4,0.06375198975324987,0.8,25
dc_tfact_pca,lowdata:4,-0.03767675016994625,0.16,25
grn_soft:0.001,lowdata:4,-0.019549756962337333,0.44,25
grn_soft:0.01,lowdata:4,-0.10043110782477015,0.04,25
grn_real,lowdata:4,-0.050517911856273676,0.28,25
pca,lowdata:8,0.013484207775391362,0.6,25
dc_tfact,lowdata:8,0.051513691852536105,0.8,25
dc_tfact_pca,lowdata:8,-0.006425539065950692,0.48,25
grn_soft:0.001,lowdata:8,-0.002595771912271143,0.44,25
grn_soft:0.01,lowdata:8,-0.14180179264568613,0.0,25
grn_real,lowdata:8,-0.07092745564894945,0.16,25
pca,lowdata:16,0.051728514310189745,0.88,25
dc_tfact,lowdata:16,0.05291963830004302,0.8,25
dc_tfact_pca,lowdata:16,-0.0024894753428786444,0.52,25
grn_soft:0.001,lowdata:16,-0.01378533176602724,0.32,25
grn_soft:0.01,lowdata:16,-0.15567964977574886,0.0,25
grn_real,lowdata:16,-0.07063327408323683,0.08,25
pca,noise:0.3,0.0365447353048619,0.72,25
dc_tfact,noise:0.3,-0.0028039366263487107,0.48,25
dc_tfact_pca,noise:0.3,-0.04745053031702907,0.24,25
grn_soft:0.001,noise:0.3,-0.011758474532286201,0.36,25
grn_soft:0.01,noise:0.3,-0.07147382725606882,0.12,25
grn_real,noise:0.3,-0.13534863161946478,0.0,25
pca,noise:0.1,0.019689613885798804,0.56,25
dc_tfact,noise:0.1,-0.0408784829102425,0.28,25
dc_tfact_pca,noise:0.1,-0.09180969105787279,0.08,25
grn_soft:0.001,noise:0.1,0.00818299464558601,0.64,25
grn_soft:0.01,noise:0.1,-0.06489553028798507,0.04,25
grn_real,noise:0.1,-0.16503836097856048,0.0,25
