embedding,k,macro_f1,macro_auc
dc_tfact,10,0.5997626596543006,0.9589086172859413
dc_tfact,30,0.7498789467612996,0.9742135618933505
dc_tfact,50,0.8008711048153774,0.9790632967684006
dc_tfact,100,0.802767672872936,0.9806612471495427
dc_tfact,200,0.8395224822190765,0.9870439060139325
dc_tfact,293,0.8552619910762326,0.9884690512440283
dc_tfact_collectri,10,0.6385384234875418,0.9664088812295779
dc_tfact_collectri,30,0.7531392463745405,0.9775854208163268
dc_tfact_collectri,50,0.7890528830188275,0.9851076211296584
dc_tfact_collectri,100,0.8267247850189026,0.9867830691041869
dc_tfact_collectri,200,0.8677757448376642,0.9901874686070267
dc_tfact_collectri,293,0.8753559229441581,0.9917900471714141
